Mesh_Expression;SubCategory;Category
Hyperbaric Oxygenation;Physiotherapy;physical interventions
Kinesiology Applied;Physiotherapy;physical interventions
Manual Lymphatic Drainage;Manual Therapy;physical interventions
Massage;Manual Therapy;physical interventions
Motor Activity;Physical Activity;physical interventions
Mountaineering;Physical Activity;physical interventions
Moxibustion;Manual Therapy;physical interventions
Mud Therapy;Thermalism;physical interventions
Muscle Relaxation;Physical Activity;physical interventions
Muscle Strength;Physical Activity;physical interventions
Muscle Stretching Exercises;Physical Activity;physical interventions
Musculoskeletal Manipulations;Manual Therapy;physical interventions
Negative Pressure Wound Therapy;Manual Therapy;physical interventions
Osteopathic Manipulation;Manual Therapy;physical interventions
Physical Endurance;Physical Activity;physical interventions
Physical Fitness;Physical Activity;physical interventions
Physical Therapy Modalities;Physical Activity;physical interventions
Physical Therapy Modalities;Physiotherapy;physical interventions
Plyometric Exercise;Physical Activity;physical interventions
Postural Drainage;Manual Therapy;physical interventions
Qigong;Physical Activity;physical interventions
Range of Motion Articular;Physical Activity;physical interventions
Recreation Therapy;Physical Activity;physical interventions
Reflex Vestibulo Ocular;Physical Activity;physical interventions
Reflexotherapy;Manual Therapy;physical interventions
Resistance Training;Physical Activity;physical interventions
Running;Physical Activity;physical interventions
Skating;Physical Activity;physical interventions
Skiing;Physical Activity;physical interventions
Soccer;Physical Activity;physical interventions
Sports;Physical Activity;physical interventions
Steam Bath;Thermalism;physical interventions
Swimming;Physical Activity;physical interventions
Tai Ji;Physical Activity;physical interventions
Tennis;Physical Activity;physical interventions
Therapeutic Irrigation;Thermalism;physical interventions
Trigger Points;Manual Therapy;physical interventions
Walking;Physical Activity;physical interventions
Weight Lifting;Physical Activity;physical interventions
Wrestling;Physical Activity;physical interventions
Yoga;Physical Activity;physical interventions
Acceptance and Commitment Therapy;Psychotherapy;psychologic interventions
Acoustic Stimulation;Art Therapy;psychologic interventions
Adaptation Psychological;Psychotherapy;psychologic interventions
African Traditional Medicine;Psychotherapy;psychologic interventions
Anesthetic Hypnosis;Psychotherapy;psychologic interventions
Anger Management Therapy;Psychotherapy;psychologic interventions
Applied Behavior Analysis;Psychotherapy;psychologic interventions
Art Therapy;Art Therapy;psychologic interventions
Attitude of Health Personnel;Psychotherapy;psychologic interventions
Autogenic Training;Psychotherapy;psychologic interventions
Aversive Therapy;Psychotherapy;psychologic interventions
Behavior Therapy;Psychotherapy;psychologic interventions
Biofeedback Psychology;Psychotherapy;psychologic interventions
Body Image;Psychotherapy;psychologic interventions
Brief Psychotherapy;Psychotherapy;psychologic interventions
Cognitive Behavioral Therapy;Psychotherapy;psychologic interventions
Cognitive Remediation;Psychotherapy;psychologic interventions
Color Therapy;Art Therapy;psychologic interventions
Couples Therapy;Psychotherapy;psychologic interventions
Dance Therapy;Art Therapy;psychologic interventions
Dancing;Art Therapy;psychologic interventions
Decision Making;Psychotherapy;psychologic interventions
Decision Making Shared;Psychotherapy;psychologic interventions
Dental Hypnosis;Psychotherapy;psychologic interventions
Dialectical Behavior Therapy;Psychotherapy;psychologic interventions
Dogs;Zootherapy;psychologic interventions
Eye Movement Desensitization Reprocessing;Psychotherapy;psychologic interventions
Faith Healing;Psychotherapy;psychologic interventions
Feedback Sensory;Psychotherapy;psychologic interventions
Forests;Psychotherapy;psychologic interventions
Group Psychotherapy;Psychotherapy;psychologic interventions
Hypnosis;Psychotherapy;psychologic interventions
Implosive Therapy;Psychotherapy;psychologic interventions
Magic;Psychotherapy;psychologic interventions
Meditation;Psychotherapy;psychologic interventions
Mental Healing;Psychotherapy;psychologic interventions
Milieu Therapy;Psychotherapy;psychologic interventions
Mind Body Therapies;Psychotherapy;psychologic interventions
Mindfulness;Psychotherapy;psychologic interventions
Music;Art Therapy;psychologic interventions
Music Therapy;Art Therapy;psychologic interventions
Neurofeedback;Psychotherapy;psychologic interventions
Occupational Therapy;Psychotherapy;psychologic interventions
Physician Patient Relations;Psychotherapy;psychologic interventions
Play Therapy;Art Therapy;psychologic interventions
Play Therapy;Psychological health intervention;psychologic interventions
Psychiatric Rehabilitation;Psychotherapy;psychologic interventions
Psychodynamic Psychotherapy;Psychotherapy;psychologic interventions
Psychologic Desensitization;Psychotherapy;psychologic interventions
Psychological Adaptation;Psychotherapy;psychologic interventions
Psychotherapy;Psychotherapy;psychologic interventions
Radiesthesia;Psychotherapy;psychologic interventions
Relaxation Therapy;Psychotherapy;psychologic interventions
Self Help Groups;Psychotherapy;psychologic interventions
Shamanism;Psychotherapy;psychologic interventions
Sleep Phase Chronotherapy;Psychotherapy;psychologic interventions
Social Support;Psychotherapy;psychologic interventions
Socioenvironmental Therapy;Psychotherapy;psychologic interventions
Spiritual Therapies;Psychotherapy;psychologic interventions
Spirituality;Psychotherapy;psychologic interventions
Spouses;Psychotherapy;psychologic interventions
Therapeutic Community;Psychotherapy;psychologic interventions
Therapeutic Touch;Psychotherapy;psychologic interventions
Transcranial Magnetic Stimulation;Psychotherapy;psychologic interventions
Witchcraft;Psychotherapy;psychologic interventions
Writing;Art Therapy;psychologic interventions
